reference_date,location,target,target_end_date,output_type,output_type_id,value,horizon,model
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.01,4.99,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.025,7.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.05,9.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.1,10.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.15,12.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.2,13.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.25,15.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.3,16.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.35,17.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.4,18.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.45,19.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.5,20.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.55,21.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.6,22.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.65,24.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.7,25.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.75,26.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.8,28.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.85,30.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.9,32.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.95,37.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.975,40.0,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-08,quantile,0.99,45.00999999999999,0,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.01,0.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.025,1.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.05,2.950000000000003,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.1,5.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.15,7.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.2,9.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.25,11.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.3,13.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.35,14.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.4,16.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.45,18.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.5,19.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.55,21.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.6,23.0,1,CEPH-Rtrend_fluH
2023-04-08,01,wk inc flu hosp,2023-04-15,quantile,0.65,25.0,1,CEPH-Rtrend_fluH
