reference_date,target,target_end_date,location,output_type,output_type_id,value,horizon,model
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.01,7.55698673083303,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.025,8.95766223869138,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.05,11.39310477466,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.1,13.5,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.15,15.7252411096554,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.2,17.3759163877565,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.25,19.1796414603454,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.3,20.3525,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.35,21.0,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.4,22.0,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.45,23.043,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.5,23.9675,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.55,25.0,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.6,26.0829,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.65,27.1,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.7,28.1,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.75,28.8519099235152,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.8,30.8121387189269,0,FluSight-ensemble
2022-04-30,wk inc flu hosp,2022-04-30,01,quantile,0.85,32.3705966808629,0,FluSight-ensemble
